No ,Kode ,Title ,Harga,Harga Dasar,Keterangan,,,,,,,,,,,
136,SSC 218,SSC 218," 	152,520 "," 	127,100 ",warna:,Abu Kombinasi,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
137,SDL 531,SDL 531," 	106,320 "," 	88,600 ",warna:,Abu,",",Bahan:,Rajut ,",",Ukuran:,All Size,",",Keterangan Lain :,,
138,SKK 465,SKK 465," 	151,560 "," 	126,300 ",warna:,Abu,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
139,SRD 128,SRD 128," 	161,760 "," 	134,800 ",warna:,Navy,",",Bahan:,Taslan,",",Ukuran:,M-L ,",",Keterangan Lain :,,
140,SMD 874,SMD 874," 	158,880 "," 	132,400 ",warna:,Abu Kombinasi,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
141,SKM 283,SKM 283," 	152,400 "," 	127,000 ",warna:,Abu,",",Bahan:,Milky,",",Ukuran:,M-L,",",Keterangan Lain :,,
142,SMD 413,SMD 413," 	158,880 "," 	132,400 ",warna:,Htmkom,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
143,STD 796,STD 796," 	142,560 "," 	118,800 ",warna:,Htmabu,",",Bahan:,Parasit,",",Ukuran:,M-L,",",Keterangan Lain :,,
144,SDD 455,SDD 455," 	142,560 "," 	118,800 ",warna:,Abu Kombinasi,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
145,SGL 671,SGL 671," 	161,760 "," 	134,800 ",warna:,Biru Merah,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
146,SGU 683,SGU 683," 	154,440 "," 	128,700 ",warna:,Coklat,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
147,SIP 233,SIP 233," 	138,960 "," 	115,800 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
148,STJ 493,STJ 493," 	166,080 "," 	138,400 ",warna:,Htmabu,",",Bahan:,Taslan,",",Ukuran:,M-L,",",Keterangan Lain :,,
149,SMM 730,SMM 730," 	155,280 "," 	129,400 ",warna:,Htmkom,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
150,SIR 506 ,SIR 506 ," 	141,600 "," 	118,000 ",warna:,MRHhtm,",",Bahan:,Diadora,",",Ukuran:,M-L,",",Keterangan Lain :,,
151,SGU 420,SGU 420," 	162,960 "," 	135,800 ",warna:,Hitam,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
152,SGU 182,SGU 182," 	154,440 "," 	128,700 ",warna:,Abuhtm,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
153,SRD 242,SRD 242," 	161,040 "," 	134,200 ",warna:,Abubir,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
154,SGU 884,SGU 884," 	154,440 "," 	128,700 ",warna:,Hitam,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
155,SGL 023,SGL 023," 	161,760 "," 	134,800 ",warna:,Mrgkom ,",",Bahan:,Fleece,",",Ukuran:,M-L,",",Keterangan Lain :,,
156,SMI 746,SMI 746," 	119,880 "," 	99,900 ",warna:,Coklat,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
157,SKM 737,SKM 737," 	154,320 "," 	128,600 ",warna:,Hitam,",",Bahan:,Lotto,",",Ukuran:,M-L,",",Keterangan Lain :,,
158,SHJ 992,SHJ 992," 	184,200 "," 	153,500 ",warna:,Hitam,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
159,SGD 102,SGD 102," 	208,200 "," 	173,500 ",warna:,Biru,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
160,SIP 074,SIP 074," 	177,000 "," 	147,500 ",warna:,Birkom,",",Bahan:,Jeans,",",Ukuran:,M-L,",",Keterangan Lain :,,
161,SGD 229,SGD 229," 	200,160 "," 	166,800 ",warna:,Biekom,",",Bahan:,Jeans,",",Ukuran:,L-XL,",",Keterangan Lain :,,
162,SZK 205,SZK 205," 	180,840 "," 	150,700 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL-XXL,",",Keterangan Lain :,,
163,SZK 753,SZK 753," 	211,680 "," 	176,400 ",warna:,Coklat ,",",Bahan:,Viena,",",Ukuran:,L-Xl-XXL,",",Keterangan Lain :,,
164,SNW 681,SNW 681," 	166,200 "," 	138,500 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL-XXL,",",Keterangan Lain :,,
165,SZK 634,SZK 634," 	194,520 "," 	162,100 ",warna:,Hitam,",",Bahan:,Ferari,",",Ukuran:,L-XL,",",Keterangan Lain :,,
